party,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
democrat,1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0
democrat,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
republican,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1
republican,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1
republican,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1
democrat,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
democrat,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,0
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
democrat,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0
republican,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1
republican,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
republican,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1
democrat,-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,1,1
democrat,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
democrat,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1
republican,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1
republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
democrat,1,-1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
democrat,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
republican,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
republican,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
democrat,1,-1,1,-1,-1,0,1,1,1,-1,0,0,-1,0,0,0
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
republican,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
democrat,-1,1,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,0
republican,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1
republican,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1
democrat,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1
republican,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
democrat,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1
republican,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0
republican,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1
democrat,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1
democrat,-1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,1,1,0
democrat,1,1,1,0,-1,1,1,1,1,-1,1,-1,1,-1,0,1
democrat,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1
democrat,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0
democrat,1,-1,1,-1,0,1,0,1,1,1,-1,-1,1,1,-1,1
democrat,1,-1,1,-1,-1,1,1,1,1,1,-1,0,-1,1,-1,1
democrat,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1
democrat,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1
democrat,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0
republican,-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0
republican,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1
democrat,1,1,1,-1,-1,1,1,1,1,1,-1,-1,0,-1,1,0
democrat,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
democrat,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
republican,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1
democrat,-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
republican,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
democrat,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,0
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
democrat,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1
democrat,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
republican,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
republican,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
republican,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0
democrat,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1
democrat,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1
democrat,1,1,1,-1,0,1,-1,0,-1,-1,1,-1,1,1,-1,0
democrat,1,1,1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,0
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
democrat,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,1,-1,1
democrat,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1
democrat,1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
democrat,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
democrat,-1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
democrat,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,0,1
democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
republican,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1
democrat,-1,0,1,0,-1,1,1,1,1,1,1,-1,0,0,1,1
democrat,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1
republican,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
republican,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
republican,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0
republican,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1
democrat,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1
republican,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
democrat,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,0
republican,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1
democrat,-1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1
republican,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
democrat,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1
democrat,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1
democrat,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0
democrat,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
republican,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
republican,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1
democrat,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1
democrat,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,0
democrat,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,0
democrat,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1
democrat,1,1,1,-1,0,1,1,1,-1,1,0,0,-1,-1,1,1
democrat,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,0
democrat,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,-1
democrat,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,0,1
republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1
democrat,1,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
republican,-1,1,-1,1,1,1,0,0,-1,-1,0,0,1,0,0,0
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,1,1,1,-1,-1,1,0,1,1,-1,1,-1,1,-1,1,1
democrat,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0
democrat,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0
democrat,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1
democrat,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
democrat,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1
democrat,-1,0,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
democrat,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0
democrat,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,1,0
democrat,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,-1,0
democrat,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1
republican,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
republican,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0
democrat,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1
democrat,1,1,1,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,1
democrat,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1
democrat,1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1
democrat,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
republican,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1
republican,-1,1,-1,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0
republican,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1
republican,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1
republican,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
democrat,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1
democrat,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
democrat,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
democrat,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1
republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
republican,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
democrat,-1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,1
republican,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1
democrat,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
republican,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1
democrat,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1
democrat,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1
democrat,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
democrat,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1
democrat,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,0
democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
republican,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1
democrat,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1
democrat,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,0,1,1
republican,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1
democrat,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
republican,-1,0,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
republican,-1,-1,-1,1,1,1,0,0,0,0,-1,1,1,1,-1,1
republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1